crop_register_id,location_id,site_id,farmer_id,type_variety_id,variety_id,estado_fenologico,fecha_siembra,fecha_trasplante,fecha_cosecha,fecha_medicion,dias_despues_siembra,n_plantas,peso_fresco,peso_fresco_planta,peso_seco,peso_seco_planta,long_raiz,altura_planta,leaf_area_index
1,1,1,1,1,1,,2022-08-10,2022-09-27,2022-11-30,2022-08-10,1,1,0.1,0.1,0.1,0.1,1,1,0
2,1,1,1,1,1,,2022-08-10,2022-09-27,2022-11-30,2022-09-28,48,5,9.36,1.872,1.65,0.33,17,49,0.14
3,1,1,1,1,1,,2022-08-10,2022-09-27,2022-11-30,2022-10-10,60,5,32.1,6.42,3.97,0.794,19,53,0.35
4,1,1,1,1,1,Prenha,2022-08-10,2022-09-27,2022-11-30,2022-10-19,69,5,70.19,14.038,8.46,1.692,30,66,0.71
5,1,1,1,1,1,,2022-08-10,2022-09-27,2022-11-30,2022-11-19,99,9,155.82,17.3133333333333,37.18,4.13111111111111,27,84,0.6
6,1,1,1,1,1,,2022-08-10,2022-09-27,2022-11-30,2022-11-25,105,9,79.55,8.83888888888889,29.34,3.26,18,90,1.02
7,3,1,2,1,1,,2022-08-09,2022-09-28,2022-12-09,2022-08-09,1,1,0.1,0.1,0.1,0.1,1,1,0
8,3,1,2,1,1,,2022-08-09,2022-09-28,2022-12-09,2022-09-28,49,5,27.91,5.582,4.29,0.858,21.2,39,0.25
9,3,1,2,1,1,,2022-08-09,2022-09-28,2022-12-09,2022-10-10,61,6,44.84,7.47333333333333,5,0.833333333333333,30,65,0.34
10,3,1,2,1,1,,2022-08-09,2022-09-28,2022-12-09,2022-10-19,70,7,49.76,7.10857142857143,7.86,1.12285714285714,35,75,0.79
11,3,1,2,1,1,,2022-08-09,2022-09-28,2022-12-09,2022-11-19,100,7,108.5,15.5,20.34,2.90571428571429,24,96,0.66
12,3,1,2,1,1,,2022-08-09,2022-09-28,2022-12-09,2022-11-25,106,14,91.83,6.55928571428571,31.03,2.21642857142857,21,96,0.58
13,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-07-08,1,1,0.1,0.1,0.1,0.1,1,1,0
14,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-09-27,79,3,5.93,1.97666666666667,1.36,0.453333333333333,8,51,0.14
15,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-10-10,92,4,14.45,3.6125,1.55,0.3875,15,48,0.17
16,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-10-19,101,3,30.07,10.0233333333333,2.65,0.883333333333333,34,50,0.47
17,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-11-19,131,9,67.19,7.46555555555556,14.19,1.57666666666667,28,68,1.25
18,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-11-25,137,11,147.08,13.3709090909091,33.91,3.08272727272727,28,89,1.26
19,2,1,1,2,2,,2022-07-08,2022-09-23,2022-12-15,2022-12-09,151,13,128.49,9.88384615384615,34.68,2.66769230769231,19,91,1.27
20,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-08-04,1,1,0.1,0.1,0.1,0.1,1,1,0
21,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-09-30,60,2,7.68,3.84,1.52,0.76,12,53,0.12
22,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-10-10,70,8,46.5,5.8125,5.48,0.685,25,61,0.4
23,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-10-19,79,10,95.73,9.573,12.68,1.268,30,82,0.85
24,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-11-19,109,9,155.82,17.3133333333333,37.18,4.13111111111111,31,95,2.02
25,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-11-25,115,13,201.98,15.5369230769231,58.11,4.47,31,126,1.62
26,5,1,3,2,2,,2022-08-04,2022-09-17,2022-12-16,2022-12-09,129,13,128.49,9.88384615384615,34.68,2.66769230769231,19,125,1.29
27,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-07-24,1,NA,NA,NA,NA,NA,NA,1,0
28,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-08-25,32,NA,NA,NA,NA,NA,NA,64,0.73
29,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-10-10,78,NA,NA,NA,NA,NA,NA,90,1.11
30,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-10-18,86,NA,NA,NA,NA,NA,NA,108,1.89
31,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-11-03,102,NA,NA,NA,NA,NA,NA,152,2.14
32,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-11-12,111,NA,NA,NA,NA,NA,NA,154,2.5
33,4,1,2,2,3,,2022-07-24,2022-08-25,2022-12-15,2022-11-24,124,NA,NA,NA,NA,NA,NA,152,1.88
34,1,1,1,1,1,,2023-07-14,2023-08-30,2023-11-28,2023-07-14,1,1,0.1,0.1,0.1,0.1,1,1,0
35,1,1,1,1,1,,2023-07-14,2023-08-30,2023-11-28,2023-08-30,47,8,3.39,0.42375,1.27,0.15875,15,57,0.15
36,1,1,1,1,1,,2023-07-14,2023-08-30,2023-11-28,2023-09-15,62,6,9.5,1.58333333333333,1.68,0.28,14,46,0.3
37,1,1,1,1,1,,2023-07-14,2023-08-30,2023-11-28,2023-09-29,76,16,29.99,1.874375,5.32,0.3325,23,40,0.85
38,1,1,1,1,1,Prenha,2023-07-14,2023-08-30,2023-11-28,2023-10-14,91,8,26.18,3.2725,4.74,0.5925,10,42,1.02
39,1,1,1,1,1,Floracion,2023-07-14,2023-08-30,2023-11-28,2023-10-29,106,9,114,12.6666666666667,23,2.55555555555556,30,89,1.32
40,1,1,1,1,1,Grano lechoso,2023-07-14,2023-08-30,2023-11-28,2023-11-16,123,18,215.95,11.9972222222222,46.72,2.59555555555556,30,102,0.85
41,1,1,1,1,1,Grano duro,2023-07-14,2023-08-30,2023-11-28,2023-11-28,135,22,125.7,5.71363636363636,45.95,2.08863636363636,28,90,1.12
42,2,1,1,2,2,,2023-07-15,2023-09-15,2023-12-12,2023-07-15,1,1,0.1,0.1,0.1,0.1,1,1,0
43,2,1,1,2,2,,2023-07-15,2023-09-15,2023-12-12,2023-09-15,61,4,5.68,1.42,0.86,0.215,15,45,0.18
44,2,1,1,2,2,,2023-07-15,2023-09-15,2023-12-12,2023-09-29,75,6,10.18,1.69666666666667,1.48,0.246666666666667,19,53,0.74
45,2,1,1,2,2,,2023-07-15,2023-09-15,2023-12-12,2023-10-14,90,8,33,4.125,4.58,0.5725,28,67,1.04
46,2,1,1,2,2,Prenha,2023-07-15,2023-09-15,2023-12-12,2023-10-29,105,12,129.5,10.7916666666667,21.14,1.76166666666667,35,93,1.73
47,2,1,1,2,2,,2023-07-15,2023-09-15,2023-12-12,2023-11-16,122,15,178.56,11.904,38.39,2.55933333333333,36,118,2.04
48,2,1,1,2,2,Grano duro,2023-07-15,2023-09-15,2023-12-12,2023-11-28,134,8,103.98,12.9975,29.47,3.68375,25,117,1.58
49,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-07-30,1,1,0.1,0.1,0.1,0.1,1,1,0
50,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-09-15,47,8,26.25,3.28125,4.52,0.565,19,56,0.29
51,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-09-29,60,9,28.87,3.20777777777778,4.8,0.533333333333333,29,54,0.38
52,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-10-14,75,10,47.64,4.764,7.83,0.783,27,54.5,0.57
53,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-10-29,90,9,127.13,14.1255555555556,21.92,2.43555555555556,35,101,1.17
54,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-11-16,107,12,140.98,11.7483333333333,27.92,2.32666666666667,21,91,1.24
55,3,1,2,1,1,,2023-07-30,2023-09-15,2023-11-28,2023-11-28,119,10,90.61,9.061,21.37,2.137,22,92,1.23
56,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-07-19,1,1,0.1,0.1,0.1,0.1,1,1,0
57,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-09-15,57,3,5.25,1.75,1.33,0.443333333333333,13.5,65,0.42
58,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-09-29,71,2,14.62,7.31,2.28,1.14,14,72,0.34
59,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-10-14,86,4,39.41,9.8525,6.68,1.67,27,58,0.45
60,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-10-29,101,4,30.22,7.555,6.26,1.565,29,63,1.31
61,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-11-16,118,3,84.89,28.2966666666667,21.69,7.23,29,113,1.4
62,4,1,2,2,4,,2023-07-19,2023-09-15,2023-12-12,2023-11-28,130,1,74.9,74.9,24,24,24,130,1.17
63,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-07-17,1,1,0.1,0.1,0.1,0.1,1,1,0
64,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-09-15,59,3,6.56,2.18666666666667,0.98,0.326666666666667,13.5,50,0.28
65,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-09-29,73,7,22.94,3.27714285714286,2.93,0.418571428571429,17,55,0.83
66,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-10-14,88,5,52.1,10.42,7.41,1.482,29,70,1.26
67,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-10-29,103,17,170.47,10.0276470588235,33.85,1.99117647058824,28,101,2.09
68,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-11-16,120,6,144,24,26.06,4.34333333333333,30,144,2.16
69,5,1,3,2,2,,2023-07-17,2023-09-15,2023-12-12,2023-11-28,132,16,210.52,13.1575,75.88,4.7425,31,123,2.09
